,Postcode,OA_Code,Total,Percentage
L10 1LD: E00033706,L10 1LD,E00033706,6,86
L10 1LD: E00033718,L10 1LD,E00033718,1,14
L10 1LF: E00032977,L10 1LF,E00032977,32,63
L10 1LF: E00033727,L10 1LF,E00033727,19,37
L10 1LH: E00033718,L10 1LH,E00033718,3,11
L10 1LH: E00033724,L10 1LH,E00033724,24,89
L10 1LN: E00033718,L10 1LN,E00033718,89,96
L10 1LN: E00033724,L10 1LN,E00033724,4,4
L10 1LU: E00033706,L10 1LU,E00033706,41,95
L10 1LU: E00033718,L10 1LU,E00033718,2,5
L10 2JJ: E00035667,L10 2JJ,E00035667,66,99
L10 2JJ: E00035675,L10 2JJ,E00035675,1,1
L10 3JW: E00035677,L10 3JW,E00035677,5,14
L10 3JW: E00035685,L10 3JW,E00035685,32,86
L10 4UE: E00032962,L10 4UE,E00032962,4,4
L10 4UE: E00032974,L10 4UE,E00032974,109,96
L10 4US: E00033756,L10 4US,E00033756,118,94
L10 4US: E00033800,L10 4US,E00033800,7,6
L10 4XG: E00032974,L10 4XG,E00032974,6,8
L10 4XG: E00032976,L10 4XG,E00032976,74,93
L10 6LA: E00035674,L10 6LA,E00035674,38,93
L10 6LA: E00035677,L10 6LA,E00035677,3,7
L10 6LB: E00035668,L10 6LB,E00035668,8,53
L10 6LB: E00035674,L10 6LB,E00035674,7,47
L10 6LF: E00035668,L10 6LF,E00035668,1,2
L10 6LF: E00035674,L10 6LF,E00035674,45,98
L10 7LF: E00033697,L10 7LF,E00033697,89,99
L10 7LF: E00033698,L10 7LF,E00033698,1,1
L10 7LW: E00032977,L10 7LW,E00032977,8,11
L10 7LW: E00033727,L10 7LW,E00033727,67,89
L10 7NQ: E00032977,L10 7NQ,E00032977,2,6
L10 7NQ: E00033739,L10 7NQ,E00033739,31,94
L10 7NT: E00033708,L10 7NT,E00033708,5,14
L10 7NT: E00033711,L10 7NT,E00033711,30,86
L10 8JH: E00035672,L10 8JH,E00035672,5,7
L10 8JH: E00035682,L10 8JH,E00035682,67,93
L10 8LQ: E00032974,L10 8LQ,E00032974,1,20
L10 8LQ: E00035665,L10 8LQ,E00035665,4,80
L10 8LW: E00035668,L10 8LW,E00035668,6,10
L10 8LW: E00035681,L10 8LW,E00035681,52,90
L10 9AP: E00033697,L10 9AP,E00033697,8,23
L10 9AP: E00033698,L10 9AP,E00033698,27,77
L10 9LB: E00033724,L10 9LB,E00033724,5,19
L10 9LB: E00033730,L10 9LB,E00033730,21,81
L10 9LQ: E00033730,L10 9LQ,E00033730,46,96
L10 9LQ: E00033732,L10 9LQ,E00033732,2,4
L11 0AF: E00033802,L11 0AF,E00033802,2,6
L11 0AF: E00033804,L11 0AF,E00033804,32,94
L11 0AN: E00033745,L11 0AN,E00033745,50,96
L11 0AN: E00033801,L11 0AN,E00033801,2,4
L11 0AU: E00033802,L11 0AU,E00033802,41,98
L11 0AU: E00033803,L11 0AU,E00033803,1,2
L11 0AX: E00033802,L11 0AX,E00033802,56,98
L11 0AX: E00033803,L11 0AX,E00033803,1,2
L11 0BJ: E00033748,L11 0BJ,E00033748,25,89
L11 0BJ: E00033803,L11 0BJ,E00033803,3,11
L11 1AN: E00033432,L11 1AN,E00033432,51,94
L11 1AN: E00033468,L11 1AN,E00033468,3,6
L11 1BE: E00033464,L11 1BE,E00033464,111,97
L11 1BE: E00176774,L11 1BE,E00176774,4,3
L11 1BX: E00033463,L11 1BX,E00033463,6,86
L11 1BX: E00033464,L11 1BX,E00033464,1,14
L11 1DJ: E00033459,L11 1DJ,E00033459,31,91
L11 1DJ: E00033460,L11 1DJ,E00033460,3,9
