,Channel Islands,East Midlands,East of England,Isle of Man,London,North East,North West,Northern Ireland,Scotland,South East,South West,Wales,West Midlands,Yorkshire and The Humber,UK
Eptesicus serotinus,0,0,252,0,29,0,0,0,0,1914,1922,70,0,0,4187
Myotis bechsteinii,0,0,0,0,0,0,0,0,0,86,0,0,0,0,86
Myotis brandtii,0,0,0,0,0,0,464,0,0,0,0,4,0,0,468
Myotis daubentonii,0,751,0,0,0,0,0,0,55,369,225,0,156,439,1995
Myotis mystacinus,0,92,0,0,0,0,0,0,37,209,99,20,0,124,581
Myotis nattereri,0,1534,497,0,0,220,288,20,549,1057,1377,212,186,660,6600
Nyctalus leisleri,0,0,47,97,0,0,0,393,0,0,130,0,0,0,667
Nyctalus noctula,0,131,174,0,0,0,128,0,0,232,167,0,0,0,832
Pipistrellus nathusii,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
Pipistrellus pipistrellus,0,7914,5760,127,118,2874,5331,1774,11024,12783,9568,4887,6471,5850,74481
Pipistrellus pygmaeus,0,20633,16032,0,3299,1560,15595,7828,44532,18531,15205,25642,13428,4505,186790
Plecotus auritus,0,1531,635,19,27,155,773,111,1794,1225,1210,653,596,140,8869
Plecotus austriacus,0,0,0,0,0,0,0,0,0,6,41,0,0,0,47
Rhinolophus ferrumequinum,0,0,0,0,0,0,0,0,0,0,9613,2319,12,0,11944
Rhinolophus hipposideros,0,0,0,0,0,0,0,0,0,21,17306,36216,4087,0,57630
All_Bat_Species,0,32586,23397,243,3477,4809,22579,10126,57991,36433,56863,70023,24936,11718,355181
